jid,formula,band_gap,formation_energy,bulk_modulus,shear_modulus,eps_avg,formula_clean,E_ads_Li2S2,E_ads_Li2S4,E_ads_Li2S6,E_ads_Li2S8,E_ads_S8,E_ads_avg
JVASP-68131,BeInW2,0.0,0.29708,188.26,31.81,84.75276666666667,,,,,,,
JVASP-68662,Mg2BeCl,0.0,0.00515,34.72,5.23,42.144866666666665,,,,,,,
JVASP-91824,Mg3CdO4,1.42,-2.40304,150.6,90.24,3.7979,,,,,,,
JVASP-67923,CaSc2Be,0.0,0.14447,44.33,24.96,126.34916666666668,,,,,,,
JVASP-85417,Mn2As,0.0,-0.05715,137.74,33.69,174.44023333333334,,,,,,,
JVASP-86419,AuO2F6,0.397,-0.69391,20.27,9.4,8.6099,,,,,,,
JVASP-68049,CaBePt,0.0,-0.78742,83.09,32.17,51.863033333333334,,,,,,,
JVASP-67554,BeCdFe2,0.0,0.19838,145.57,76.82,105.97930000000001,,,,,,,
JVASP-74001,BeInMo2,0.0,0.21568,140.86,48.93,67.83333333333333,,,,,,,
JVASP-67628,BeGeTe2,0.0,0.06162,43.91,24.69,31.578500000000002,,,,,,,
JVASP-67068,CaBeCd,0.0,0.10223,48.3,29.38,62.54046666666667,,,,,,,
JVASP-66919,HfBeTc,0.0,-0.21379,166.22,65.95,44.65756666666667,,,,,,,
JVASP-66991,CaBeNb,0.0,0.38917,69.46,31.83,95.68849999999999,,,,,,,
JVASP-67984,HfMg2Be,0.0,0.27457,42.4,15.0,95.51233333333333,,,,,,,
JVASP-28568,Te2Mo2WSe2S2,0.033,-0.5004,56.53,35.7,16.550066666666666,,,,,,,
JVASP-67671,MnBeTc2,0.0,-0.01563,0.0,0.0,223.3717333333333,,,,,,,
JVASP-62681,BN,4.435,-1.38422,244.93,177.56,4.192366666666667,,,,,,,
JVASP-68494,MnBe2Bi,0.0,0.6064,84.44,26.77,75.14233333333333,,,,,,,
JVASP-1723,RbErSe2,1.965,-1.83639,41.2,27.46,6.039866666666668,,,,,,,
JVASP-74064,Mn2BeCd,0.0,0.15192,148.16,83.53,73.85183333333333,,,,,,,
JVASP-67590,Ti2BeFe,0.0,-0.15681,144.63,58.7,83.39983333333333,,,,,,,
JVASP-16116,ScSiAu,0.0,-0.73684,119.54,64.23,42.366233333333334,,,,,,,
JVASP-91591,TbFeAsO,0.0,-1.93672,112.64,56.03,29.151966666666667,,,,,,,
JVASP-18872,SmGe2Pd2,0.0,-0.79517,113.44,37.03,68.61376666666666,,,,,,,
JVASP-87880,Ca6FeN5,0.0,-1.00713,82.33,40.76,10.897766666666667,,,,,,,
JVASP-15645,HoCo2Si2,0.0,-0.79553,148.67,90.92,90.95886666666667,,,,,,,
JVASP-67139,Be2VTe,0.0,0.36626,100.8,56.08,56.4321,,,,,,,
JVASP-68609,HfBePb2,0.0,0.41983,74.54,13.89,178.04419999999996,,,,,,,
JVASP-14558,CaSn,0.0,-0.72991,40.61,24.95,22.84296666666667,,,,,,,
JVASP-14795,PuB2,0.0,-0.54055,151.14,135.55,224.8821,,,,,,,
JVASP-68431,KBe2Tc,0.0,0.3463,67.89,31.31,74.50086666666667,,,,,,,
JVASP-75494,AsPdCl,0.0,0.63696,60.73,0.0,52.4381,,,,,,,
JVASP-62854,MgB2H8,6.023,-0.23349,32.33,13.68,2.838766666666667,,,,,,,
JVASP-66821,LiBePt,0.0,-0.5337,68.93,54.02,65.24159999999999,,,,,,,
JVASP-68793,Sc2BeBr,0.0,-0.06065,56.56,21.11,135.0586,,,,,,,
JVASP-67463,BeNbTc,0.0,0.12804,192.97,0.0,256.68216666666666,,,,,,,
JVASP-90515,CrO3,1.902,-1.70516,22.91,12.05,6.440933333333334,,,,,,,
JVASP-91730,CdCu2SnS4,0.019,-0.46746,66.6,24.5,19.257466666666666,,,,,,,
JVASP-66750,TiBeTe,0.0,0.04578,80.91,61.15,69.96236666666667,,,,,,,
JVASP-20063,CeMg,0.0,0.11651,38.2,31.38,114.9409,,,,,,,
JVASP-67712,BeTlMo,0.0,0.70868,72.4,0.0,134.43710000000002,,,,,,,
JVASP-67831,SrMnBe,0.0,0.49883,37.82,24.63,87.38923333333334,,,,,,,
JVASP-75536,CrAsPd2,0.0,-0.0165,127.47,5.8,133.056,,,,,,,
JVASP-5278,KHCO3,5.394,-1.59968,33.46,14.33,2.5223,,,,,,,
JVASP-92181,Zn3CrSe4,0.0,-0.52024,57.87,17.38,53.1286,,,,,,,
JVASP-90571,Mg3Zr,0.0,0.04164,54.04,35.37,88.2758,,,,,,,
JVASP-90843,KSe3,0.42,-0.4976,15.97,6.26,11.632499999999999,,,,,,,
JVASP-90218,MgN8,0.568,1.18776,17.64,13.25,92.68123333333334,,,,,,,
JVASP-85696,KHCO2,4.305,-1.36976,26.03,12.1,2.5182333333333333,,,,,,,
JVASP-73898,BeV2Sn,0.0,0.10696,126.62,53.53,81.4106,,,,,,,
JVASP-67925,SrTi2Be,0.0,0.30479,53.23,24.84,92.33726666666666,,,,,,,
JVASP-67870,Ta2BeOs,0.0,-0.14265,220.26,63.41,110.37256666666667,,,,,,,
JVASP-85506,Si2H2O5,5.696,-2.23539,32.67,27.18,2.3105666666666664,,,,,,,
JVASP-75457,MnSnAs,0.0,0.20373,58.87,0.0,258.9357,,,,,,,
JVASP-63373,NiAs2O6,0.884,-1.13501,170.61,89.89,31.906299999999998,,,,,,,
JVASP-68383,ScBe2Ir2,0.0,-0.69955,50.01,13.42,27.1019,,,,,,,
JVASP-67555,BeBiMo2,0.0,0.2899,124.69,72.79,82.09986666666667,,,,,,,
JVASP-66925,CaTiBe,0.11,0.27375,56.42,38.15,62.626000000000005,,,,,,,
JVASP-67987,TaTi2Be,0.0,0.02523,133.54,62.09,123.84056666666667,,,,,,,
JVASP-74065,BeCo2Cl,0.0,0.18276,56.72,29.51,108.47696666666666,,,,,,,
JVASP-92234,NbVF6,0.0,-2.91018,31.04,29.55,78.22543333333333,,,,,,,
JVASP-85964,Sr2NiTeO6,0.986,-1.88455,65.58,35.37,4.383666666666667,,,,,,,
JVASP-86948,RbCSO3F3,6.235,-1.65835,18.06,8.61,2.3937666666666666,,,,,,,
JVASP-88284,CaMgSiO4,4.937,-3.18429,108.51,57.71,2.9511000000000003,,,,,,,
JVASP-86767,OsN2,0.0,0.39292,354.63,198.26,92.11996666666666,,,,,,,
JVASP-75570,SnAsIr,0.0,-0.12188,125.2,9.36,75.5882,,,,,,,
JVASP-66993,HfBePd,0.0,-0.38136,144.33,38.7,91.45386666666667,,,,,,,
JVASP-67672,ZrBeNb,0.0,0.0606,126.01,28.07,174.10993333333332,,,,,,,
JVASP-43807,Na7NbO6,3.017,-1.88169,69.41,24.97,3.8216,,,,,,,
JVASP-67591,NaMnBe,0.0,0.6324,19.48,14.01,99.47696666666667,,,,,,,
JVASP-68051,BeV2Cr,0.0,0.06211,181.82,38.93,210.72283333333334,,,,,,,
JVASP-68666,Sr2BePd,0.0,0.10427,35.4,8.6,88.11346666666667,,,,,,,
JVASP-90749,NClO2,0.58,1.45659,8.77,4.8,73.54423333333334,,,,,,,
JVASP-75459,Ti2AsOs,0.0,-0.24692,0.19,0.32,167.3287,,,,,,,
JVASP-75496,AsPPd2,0.0,0.16758,129.9,0.0,120.56080000000001,,,,,,,
JVASP-68432,MgMnBe2,0.0,0.12001,96.41,63.05,76.53393333333334,,,,,,,
JVASP-67756,CaBeRu2,0.0,0.33603,132.37,14.02,134.95133333333334,,,,,,,
JVASP-89624,SrH2O2,4.34,-1.94102,44.8,24.6,2.8640666666666665,,,,,,,
JVASP-2193,Sb2Os,0.44,0.00493,127.91,89.37,22.647433333333336,,,,,,,
JVASP-62575,Sr2BBrN2,2.598,-1.5793,49.93,18.32,3.8683666666666667,,,,,,,
JVASP-68317,Be2CdRu,0.0,-0.08043,127.6,69.38,44.254866666666665,,,,,,,
JVASP-67074,CaScBe,0.0,0.14531,43.2,30.46,67.7474,,,,,,,
JVASP-3681,Ag2HgI4,1.066,-0.19308,18.77,6.2,6.6459,,,,,,,
JVASP-85834,Th2Cu,0.0,-0.12139,76.14,28.77,276.42023333333333,,,,,,,
JVASP-74004,LiBeNi2,0.0,-0.07987,78.82,57.23,79.5929,,,,,,,
JVASP-91928,SiRu,0.242,-0.51056,190.93,97.34,45.9797,,,,,,,
JVASP-14881,LaN,0.0,-1.53197,128.4,72.66,20.9132,,,,,,,
JVASP-1726,RbLuSe2,2.019,-1.81679,42.14,28.27,6.0057333333333345,,,,,,,
JVASP-3579,PbBrF,2.945,-1.78271,49.3,20.28,5.497966666666667,,,,,,,
JVASP-90675,UCo,0.0,-0.32146,197.87,66.4,213.7424,,,,,,,
JVASP-91779,EuAs3,0.0,-0.67102,73.68,32.83,116.71453333333334,,,,,,,
JVASP-68497,BeVIn,0.0,0.58483,97.19,0.0,126.14179999999999,,,,,,,
JVASP-67292,HfBe2Zn,0.0,0.03597,108.47,65.74,81.2717,,,,,,,
JVASP-66751,NaBe2Pd,0.0,0.03269,56.96,33.03,40.3834,,,,,,,
JVASP-68134,BeCrNi2,0.0,-0.0062,170.78,65.73,154.93256666666667,,,,,,,
JVASP-67629,BeGePb,0.0,0.47472,47.48,5.51,164.84213333333335,,,,,,,
JVASP-67757,BeGePd2,0.0,-0.31527,0.0,0.0,70.44053333333333,,,,,,,
JVASP-86710,Th2Ga,0.0,-0.37319,74.84,33.21,242.86326666666665,,,,,,,
JVASP-67793,BeSi2Br,0.0,0.92268,49.04,0.0,138.3640333333333,,,,,,,
JVASP-68926,BeSiRh,0.0,-0.48068,187.86,97.35,16.654666666666667,,,,,,,
JVASP-68795,Be2MoPb2,0.0,1.18754,57.53,0.0,293.8535,,,,,,,
JVASP-68247,NaSc2Be,0.0,0.28534,33.9,16.92,88.90673333333332,,,,,,,
JVASP-73628,YBe2V,0.0,0.30341,93.0,29.34,162.6699,,,,,,,
JVASP-67390,LiYBe,0.0,0.20343,43.49,27.03,133.1258,,,,,,,
JVASP-67927,Sc2BeOs,0.0,-0.14817,121.52,20.29,74.27186666666667,,,,,,,
JVASP-66836,BePdCl,0.0,-0.15432,68.03,7.7,11.712200000000001,,,,,,,
JVASP-90572,MgZr3,0.0,0.01353,81.33,42.12,148.93146666666667,,,,,,,
JVASP-68614,BeNbSe2,0.0,0.1975,96.81,30.55,168.26516666666666,,,,,,,
JVASP-68867,Sr2TiBe2,0.0,0.68289,32.04,0.0,123.10596666666667,,,,,,,
JVASP-67758,BePW2,0.0,-0.28636,0.0,0.0,75.52013333333333,,,,,,,
JVASP-67988,Na2BeGe,0.203,0.1666,39.1,0.0,33.90283333333334,,,,,,,
JVASP-18837,MnInPd2,0.0,-0.31454,130.17,39.46,175.9037,,,,,,,
JVASP-18874,AgTe2Au,0.0,0.15169,34.93,4.02,45.04443333333333,,,,,,,
JVASP-67295,Be2SiPt,0.0,-0.14665,0.0,0.0,74.06553333333333,,,,,,,
JVASP-75461,InNi2As,0.0,0.32321,0.19,0.32,134.3161,,,,,,,
JVASP-75538,TeAsOs,0.0,0.21516,135.9,42.96,37.4447,,,,,,,
JVASP-68196,BeV2Se,0.0,0.09982,147.06,34.81,207.7287666666667,,,,,,,
JVASP-67833,BeInW2,0.0,0.07803,153.57,39.6,62.7115,,,,,,,
JVASP-67144,BeCdFe,0.0,0.27633,101.73,34.54,118.21023333333333,,,,,,,
JVASP-67673,Be2HgPd,0.0,0.08063,136.0,43.86,102.49956666666667,,,,,,,
JVASP-74069,KBePd2,0.0,-0.06162,54.51,16.41,15.837666666666669,,,,,,,
JVASP-73139,Be2NbFe,0.0,0.01209,177.71,38.59,75.9508,,,,,,,
JVASP-75499,BiBAs,0.0,1.10296,1.23,2.0,139.332,,,,,,,
JVASP-19832,CoTe,0.0,-0.03209,112.92,48.97,128.47843333333336,,,,,,,
JVASP-87084,CeSiRu,0.0,-0.6955,99.49,45.01,118.97133333333333,,,,,,,
JVASP-89946,Dy6CoTe2,0.0,-0.69148,62.46,29.55,138.8477,,,,,,,
JVASP-86420,Sc2FeSi2,0.0,-0.76577,119.8,73.74,81.69656666666667,,,,,,,
JVASP-90615,SnI3,0.0,-0.21607,18.32,9.05,17.872133333333334,,,,,,,
JVASP-86082,CeP2,0.0,-1.07708,77.11,49.81,103.00053333333334,,,,,,,
JVASP-14116,YF3,7.874,-4.36889,123.7,58.16,2.6868,,,,,,,
JVASP-67557,BeHgSe,0.0,-0.03715,48.12,20.49,13.8496,,,,,,,
JVASP-22711,Na3VO4,3.782,-2.30627,52.1,20.1,3.4122,,,,,,,
JVASP-66754,CaTiBe2,0.0,0.39083,68.1,32.22,134.27363333333335,,,,,,,
JVASP-12151,NiH2O2,0.616,-0.81241,37.28,0.0,32.62396666666667,,,,,,,
JVASP-88787,KSbO2,1.903,-1.68713,40.17,22.56,4.297899999999999,,,,,,,
JVASP-86137,FeAg3C6N6,0.0,0.39106,38.32,15.81,16.195233333333334,,,,,,,
JVASP-87138,SrGeTeO6,3.052,-1.92829,113.57,57.32,3.7604666666666664,,,,,,,
JVASP-18938,Tb2C,0.0,-0.31929,61.53,30.12,60.74016666666666,,,,,,,
JVASP-75573,KBAs4,0.0,0.66527,99.03,17.34,170.4479,,,,,,,
JVASP-75650,AsIr2Rh,0.0,0.35493,224.57,17.92,314.6439,,,,,,,
JVASP-68676,BeCrSn2,0.0,0.53017,62.11,12.49,117.55976666666668,,,,,,,
JVASP-67630,ZrBeZn,0.0,-0.08501,101.19,53.97,97.83356666666667,,,,,,,
JVASP-75500,TaAsSe,0.0,0.5632,0.87,1.77,111.54040000000002,,,,,,,
JVASP-68742,BeTl2Fe,0.0,0.77843,59.81,7.19,107.61013333333334,,,,,,,
JVASP-68436,Sr2BeGa,0.0,0.22528,27.68,6.79,76.5469,,,,,,,
JVASP-50348,NaSmO2,4.276,-2.90224,86.9,54.34,3.9050333333333334,,,,,,,
JVASP-91731,ScF3,6.508,-4.11455,21.56,33.11,2.427566666666667,,,,,,,
JVASP-66932,TiBe2Ir,0.0,-0.36382,0.0,0.0,94.31556666666665,,,,,,,
JVASP-73908,CaMn2Be,0.0,0.27032,98.3,56.0,124.06746666666665,,,,,,,
JVASP-14707,DyNi2,0.0,-0.50563,124.9,45.48,112.3093,,,,,,,
JVASP-67393,BeNbFe,0.0,0.28337,141.51,42.15,92.00766666666668,,,,,,,
JVASP-68498,BeTcBr,0.0,0.53212,68.02,35.95,77.92486666666666,,,,,,,
JVASP-74010,CaBeFe2,0.0,0.31555,94.49,41.85,138.28853333333333,,,,,,,
JVASP-92182,Rb3NaH4,1.935,-0.22493,14.3,10.8,3.0024,,,,,,,
JVASP-86887,SrLi4P2,1.035,-0.93984,44.03,38.34,8.203933333333334,,,,,,,
JVASP-67877,BeCrFe2,0.0,-0.00694,189.1,57.2,196.61383333333333,,,,,,,
JVASP-1417,SrO2,3.101,-2.13869,87.17,48.62,3.4835666666666665,,,,,,,
JVASP-86259,TaNi3,0.0,-0.37715,220.31,87.97,106.87973333333332,,,,,,,
JVASP-89184,KLi2As,0.891,-0.67439,22.7,16.8,6.865266666666667,,,,,,,
JVASP-66844,MgBeNi,0.0,-0.17113,90.64,55.93,53.62539999999999,,,,,,,
JVASP-14559,TbO2,0.0,-2.97935,150.07,15.94,81.55976666666668,,,,,,,
JVASP-68250,BeGa2Bi,0.0,0.45662,47.39,0.0,145.2698,,,,,,,
JVASP-67593,BeCuSi,0.0,0.27606,99.99,0.0,98.2955,,,,,,,
JVASP-1276,SrS,2.54,-2.36365,53.0,36.84,5.0241,,,,,,,
JVASP-88076,KTaB2O6,3.707,-2.74398,58.1,36.16,3.4320999999999997,,,,,,,
JVASP-67930,CaBeZn2,0.0,0.05145,55.17,0.0,92.21823333333333,,,,,,,
JVASP-3684,K2PtCl6,1.646,-1.28971,21.27,11.02,4.4519,,,,,,,
JVASP-1969,Ca2BrN,2.393,-1.63368,61.62,40.59,5.232233333333333,,,,,,,
JVASP-90220,Ba2NO6,0.022,-1.23091,42.91,19.03,70.74136666666668,,,,,,,
JVASP-86187,K2SnHgSe4,1.472,-0.73675,24.12,13.91,7.9288,,,,,,,
JVASP-573,VTe2,0.0,-0.3029,37.68,24.55,53.04156666666666,,,,,,,
JVASP-90160,Na2TcF6,1.692,-2.63896,48.98,26.63,5.080933333333333,,,,,,,
JVASP-91980,V2CN,0.0,-0.82375,305.42,188.55,153.03693333333334,,,,,,,
JVASP-75608,CrHgAs,0.0,0.38345,71.4,6.48,157.1013,,,,,,,
JVASP-86818,MnGaPt,0.0,-0.37378,136.24,38.73,240.30963333333332,,,,,,,
JVASP-85507,Si2H2O5,5.601,-2.22751,22.92,21.61,2.3669666666666664,,,,,,,
JVASP-85697,Fe2CuAs2H2O10,0.328,-1.09165,59.13,35.34,33.47793333333333,,,,,,,
JVASP-68616,KLi2Be,0.0,0.55778,13.62,0.0,78.34833333333333,,,,,,,
JVASP-67720,BeCdTe,0.0,0.22466,36.46,13.67,33.144133333333336,,,,,,,
JVASP-68387,NaBe2Ru,0.0,0.0245,84.24,52.41,58.881533333333344,,,,,,,
JVASP-68869,Sc2BeSb,0.0,-0.29894,75.98,47.99,94.75083333333333,,,,,,,
JVASP-90034,IN2O6,0.0,0.04617,19.08,0.0,23.261799999999997,,,,,,,
JVASP-67082,BeGaRu,0.0,-0.22221,149.71,56.91,34.80466666666666,,,,,,,
JVASP-92236,CuI,1.236,-0.15256,41.08,14.75,6.412399999999999,,,,,,,
JVASP-67795,CaBeTc2,0.0,0.34979,139.03,54.32,145.4394,,,,,,,
JVASP-74072,Ti2BeSb,0.0,-0.0436,99.73,27.28,80.46816666666668,,,,,,,
JVASP-603,SiTe2,0.0,0.09425,35.54,12.85,47.94816666666666,,,,,,,
JVASP-75465,ZrVAs,0.0,0.10024,95.4,1.26,227.7006,,,,,,,
JVASP-75692,NaVAs,0.0,0.627,45.0,24.36,233.534,,,,,,,
JVASP-86949,KCaCO3F,4.472,-2.58683,58.91,31.75,2.5832,,,,,,,
JVASP-67594,BeTc2Ge,0.0,-0.12776,0.0,0.0,78.80383333333334,,,,,,,
JVASP-67238,MnBeGa,0.0,0.07134,135.82,50.23,99.89703333333334,,,,,,,
JVASP-67005,TiBe2Sn,0.0,0.19633,0.0,0.0,87.86743333333334,,,,,,,
JVASP-91929,SmFeAsO,0.0,-1.89419,109.21,55.05,27.96806666666667,,,,,,,
JVASP-67834,MgBeSb,0.0,0.38201,45.1,0.46,143.8649333333333,,,,,,,
JVASP-67677,MnBeCr4,0.0,0.29139,212.7,79.08,131.1518,,,,,,,
JVASP-73920,BeMo2Br,0.0,0.32691,107.41,44.25,56.98106666666666,,,,,,,
JVASP-67993,NaBeV2,0.0,0.89761,86.31,34.33,153.36253333333335,,,,,,,
JVASP-68563,BeNiTe2,0.0,0.40658,57.62,16.51,82.4517,,,,,,,
JVASP-67476,BeCuBr,0.0,0.41037,39.98,1.77,24.274,,,,,,,
JVASP-86488,DyZrSb,0.0,-0.80069,84.11,43.49,112.32293333333335,,,,,,,
JVASP-74012,MgBeRh2,0.0,-0.29302,118.52,71.35,91.35546666666666,,,,,,,
JVASP-91593,ZnAg2SnS4,0.155,-0.411,59.18,18.03,13.184966666666666,,,,,,,
JVASP-85348,NpNiSn,0.0,-0.25166,86.94,26.37,207.04796666666667,,,,,,,
JVASP-85908,BAsO4,4.46,-1.73729,59.33,45.5,3.3051333333333335,,,,,,,
JVASP-73699,TaBeFe,0.0,0.24387,153.9,56.88,74.417,,,,,,,
JVASP-68251,CaBeNb2,0.0,0.59318,92.98,31.05,156.08173333333332,,,,,,,
JVASP-66757,BeZnMo,0.0,0.14763,149.88,59.61,127.26236666666667,,,,,,,
JVASP-15984,Mn2AlB2,0.0,-0.42592,231.04,160.39,49.22370000000001,,,,,,,
JVASP-66936,ScBeMo,0.0,0.38937,108.28,2.27,120.87046666666667,,,,,,,
JVASP-67879,Na2BeIn,0.0,0.229,30.27,2.56,69.40566666666666,,,,,,,
JVASP-68744,NaBe2Tc,0.0,0.20571,81.18,37.75,43.952,,,,,,,
JVASP-49848,HoTlO2,1.574,-2.58948,96.09,48.61,6.830133333333333,,,,,,,
JVASP-67931,Ti2BeMo,0.0,0.01438,144.47,45.84,173.87130000000002,,,,,,,
JVASP-63377,BN,5.299,-0.87268,261.92,170.05,4.111766666666667,,,,,,,
JVASP-90103,K2TcF6,1.602,-2.7298,37.48,19.03,11.419966666666667,,,,,,,
JVASP-67148,BeTcHg,0.0,0.53033,123.91,25.35,117.82973333333332,,,,,,,
JVASP-68390,HfBe2Se,0.0,0.07829,4.77,0.44,113.42436666666667,,,,,,,
JVASP-43808,Li2FeF4,0.0,-2.56544,53.73,9.34,30.591233333333335,,,,,,,
JVASP-75466,CoAsBr,0.0,1.24159,42.57,0.0,131.4455,,,,,,,
JVASP-42671,SrCaI4,3.786,-1.66482,19.97,4.68,4.2562,,,,,,,
JVASP-75653,Zn2AsW,0.0,0.44622,124.93,0.0,128.4915,,,,,,,
JVASP-67301,MnBe2Se,0.0,0.25587,70.88,61.29,110.35616666666665,,,,,,,
JVASP-86711,NaAgC2N2,2.49,-0.03804,20.42,6.87,3.6537,,,,,,,
JVASP-91552,K2CdSnSe4,1.664,-0.88601,24.76,14.81,7.0112,,,,,,,
JVASP-66845,Be2SiPt,0.0,-0.1465,154.3,49.56,71.87126666666667,,,,,,,
JVASP-90893,Na5LiN2,0.0,0.04722,27.07,13.58,12.685866666666668,,,,,,,
JVASP-75611,V2GeAs,0.0,0.21796,130.43,44.12,125.1878,,,,,,,
JVASP-67796,SrBeSb,0.0,-0.03496,43.83,9.92,65.5816,,,,,,,
JVASP-67558,BeCdCo2,0.0,0.30091,143.38,18.25,180.05640000000002,,,,,,,
JVASP-68325,NaSc2Be,0.0,0.50033,43.53,13.08,130.14090000000002,,,,,,,
JVASP-88461,Rb4CO4,2.414,-1.44259,32.19,4.27,3.0500666666666665,,,,,,,
JVASP-19926,USi2,0.0,-0.2209,126.49,54.69,164.11126666666667,,,,,,,
JVASP-66758,Be2CoPd,0.0,-0.21964,0.0,0.0,92.42816666666666,,,,,,,
JVASP-67760,SrBeV2,0.0,0.44364,68.33,31.54,125.61846666666666,,,,,,,
JVASP-75504,TlAsOs,0.0,0.72051,1.23,2.01,125.81509999999999,,,,,,,
JVASP-68058,BeV2Tc,0.0,-0.03822,198.91,61.97,156.3814,,,,,,,
JVASP-67721,BeZnP,0.0,0.3707,59.26,0.0,124.12823333333334,,,,,,,
JVASP-3135,TbSF,1.354,-3.2366,115.13,62.5,6.261133333333333,,,,,,,
JVASP-1387,Na2O,2.214,-1.41079,49.83,34.1,3.1225,,,,,,,
JVASP-68807,BeTl2Cr,0.0,0.80353,46.67,3.08,70.71913333333333,,,,,,,
JVASP-3582,K2ReBr6,0.713,-1.03212,16.83,8.12,36.4993,,,,,,,
JVASP-90322,Mo2WSe6,1.11,-0.66229,34.03,23.72,10.427833333333334,,,,,,,
JVASP-68391,Be2CrRh,0.0,-0.16329,19.98,2.16,131.17756666666665,,,,,,,
JVASP-74073,BeCdCu2,0.0,0.09487,101.06,41.43,30.598733333333332,,,,,,,
JVASP-73922,BeGeOs2,0.0,0.051,227.34,144.27,85.80853333333333,,,,,,,
JVASP-72530,ZrBe2Nb,0.0,-0.00231,127.94,40.85,115.6105,,,,,,,
JVASP-67559,CaBe2In,0.0,0.37294,86.97,15.62,98.03216666666667,,,,,,,
JVASP-90616,LiPtF6,0.0,-1.80306,29.72,21.65,21.164833333333334,,,,,,,
JVASP-90845,SrMnSbF,0.0,-1.71189,41.02,24.89,43.021566666666665,,,,,,,
JVASP-75507,CuMo2As,0.0,0.38307,0.19,0.32,215.39919999999998,,,,,,,
JVASP-67477,Be2VBr,0.0,0.35075,55.47,34.34,38.45203333333333,,,,,,,
JVASP-75696,AsRuAu,0.0,0.86441,1.2,1.96,193.7898,,,,,,,
JVASP-67244,TaBeSn,0.0,0.3616,95.82,5.03,124.47859999999999,,,,,,,
JVASP-88683,H2O,5.82,-0.9908,23.11,11.93,2.2982666666666667,,,,,,,
JVASP-75468,AsIrW2,0.0,0.20192,234.37,37.24,142.4915,,,,,,,
JVASP-67632,Li2BeCd,0.0,-0.01735,45.31,32.57,58.329033333333335,,,,,,,
JVASP-15740,NdB2Ru3,0.0,-0.39371,45.19,13.38,138.582,,,,,,,
JVASP-68446,Zr2BeGe,0.0,-0.27271,109.91,63.61,113.74023333333332,,,,,,,
JVASP-68682,TaBe2Ir2,0.0,-0.38627,222.23,63.7,90.7342,,,,,,,
JVASP-66937,YScBe2,0.0,0.00108,72.14,48.13,69.70003333333334,,,,,,,
JVASP-67935,KBeNb2,0.0,1.28396,77.52,19.09,136.93226666666666,,,,,,,
JVASP-68746,Be2NbNi,0.0,-0.2154,15.64,20.32,133.36396666666667,,,,,,,
JVASP-88788,RbSbO2,2.167,-1.66307,35.52,19.41,4.0944666666666665,,,,,,,
JVASP-75612,CdAsRu,0.0,0.94878,89.53,9.08,150.7773,,,,,,,
JVASP-68565,BeGa2Cl,0.0,0.25041,32.22,0.0,42.40893333333333,,,,,,,
JVASP-67596,BeCdSb,0.0,0.48689,51.53,9.08,165.62266666666667,,,,,,,
JVASP-67245,Be2VBi,0.0,0.61824,0.0,0.0,98.56290000000001,,,,,,,
JVASP-74089,KBeP2,0.0,0.22532,0.0,0.0,69.31023333333333,,,,,,,
JVASP-67010,BeZnCr,0.0,0.27833,138.3,14.98,96.03593333333333,,,,,,,
JVASP-48714,V2OF5,0.0,-2.90973,68.57,35.48,71.429,,,,,,,
JVASP-85971,RePbClO4,3.171,-1.59866,33.92,17.13,5.591066666666666,,,,,,,
JVASP-63285,K2AgAs,1.287,-0.47618,24.07,13.64,8.280166666666666,,,,,,,
JVASP-68618,Sc2BeIn,0.0,0.00824,66.64,24.19,138.38096666666667,,,,,,,
JVASP-75581,TaNbAs,0.0,0.59281,118.77,0.0,197.94320000000002,,,,,,,
JVASP-75509,MnAsPt2,0.0,0.00328,0.19,0.32,216.62119999999996,,,,,,,
JVASP-75469,TaAsP2,0.0,0.4235,234.37,37.24,347.8775,,,,,,,
JVASP-67155,TaBeRu,0.0,-0.23218,215.3,71.64,84.62509999999999,,,,,,,
JVASP-74020,Ti2BePb,0.0,0.21334,84.52,8.31,133.01646666666667,,,,,,,
JVASP-67836,LiBeBr,0.531,0.04236,21.07,4.98,19.483433333333334,,,,,,,
JVASP-75764,Ti2AsW,0.0,-0.15398,163.2,19.86,140.4696,,,,,,,
JVASP-67762,KBeRh2,0.0,0.17158,66.53,24.88,100.82679999999999,,,,,,,
JVASP-90679,OsC,0.191,0.73703,208.7,118.8,57.78799999999999,,,,,,,
JVASP-90521,Na4PtO4,0.89,-1.3021,64.61,37.67,5.5619000000000005,,,,,,,
JVASP-86189,RbCdAg3C6N6,2.525,0.21183,37.18,9.69,3.451866666666666,,,,,,,
JVASP-67307,CaMgBe,0.0,0.20384,37.48,34.51,58.5545,,,,,,,
JVASP-67397,LiBeSb,0.0,0.07877,50.8,5.36,19.272166666666667,,,,,,,
JVASP-67798,ScBeW2,0.0,-0.11766,176.9,53.76,120.34469999999999,,,,,,,
JVASP-67560,BeP2Br,0.0,0.90099,48.98,8.44,97.13510000000001,,,,,,,
JVASP-19860,V3Au,0.0,-0.04964,193.9,75.12,259.4237,,,,,,,
JVASP-86339,CuF2,0.0,-1.62264,117.22,29.01,48.68926666666667,,,,,,,
JVASP-3762,K2PdBr4,1.306,-1.2222,15.04,8.73,4.0508,,,,,,,
JVASP-91931,K3NaH4,2.297,-0.28341,16.5,12.96,2.8779,,,,,,,
JVASP-66847,MgTiBe,0.0,0.09336,77.57,57.94,66.64746666666667,,,,,,,
JVASP-85508,Si2H2O5,4.943,-2.13528,27.1,22.74,2.4512333333333336,,,,,,,
